clim.mean,clim.var,pop.var,lt.pop.lam,asp.effect,asp.mag,clim.sd,rho,rep,move.rate
3.884354280366746e-5,7.941628308643104e-7,1.474437803373857e-13,0.9966590518814168,"c(-1,1)",2.5,0.001,0.1,1,0
-1.791204384399604e-5,9.024609703285918e-7,1.4787460842103792e-13,0.9966590468159514,"c(-1,1)",2.5,0.001,0.2,1,0
1.0095641636562889e-4,9.897334829789417e-7,1.9307910819353768e-13,1.0035809079608122,"c(-1,1)",2.75,0.001,0,1,0
2.3105289284853395e-8,9.092177663413237e-7,1.898104521728633e-13,1.0035808881297743,"c(-1,1)",2.75,0.001,0.1,1,0
4.098145113980573e-5,1.0484757706429903e-6,1.9006028330713206e-13,1.0035808980944434,"c(-1,1)",2.75,0.001,0.2,1,0
2.140007929889415e-5,9.545998160150294e-7,2.7705459971189704e-13,1.001313240859557,"c(-1,1)",3,0.001,0,1,0
3.2643292334982175e-5,9.091737412712079e-7,3.1050722709877327e-13,1.001313233011459,"c(-1,1)",3,0.001,0.1,1,0
4.044775591449668e-5,1.1612843475935629e-6,3.256716193609662e-13,1.0013132439747634,"c(-1,1)",3,0.001,0.2,1,0
4.400942031452396e-6,1.0746716700711643e-6,4.997222458789673e-13,0.9988471864628745,"c(-1,1)",3.25,0.001,0,1,0
-2.9684536165310662e-5,1.136106190274986e-6,4.4248340864803643e-13,0.9988471933604964,"c(-1,1)",3.25,0.001,0.1,1,0
-6.0523245419174406e-5,1.076365224063093e-6,4.741759608181557e-13,0.9988471936343626,"c(-1,1)",3.25,0.001,0.2,1,0
7.556922780698861e-6,9.231500369173546e-7,5.776101460414003e-13,1.0061672140143705,"c(-1,1)",3.5,0.001,0,1,0
-3.5033856526922794e-5,1.0229366544078584e-6,5.827676146158966e-13,1.0061671962909726,"c(-1,1)",3.5,0.001,0.1,1,0
1.1809633934057898e-5,1.1881047079479278e-6,5.696938508654598e-13,1.006167198220377,"c(-1,1)",3.5,0.001,0.2,1,0
7.921463796856081e-5,8.656665318393057e-7,9.618659795444157e-13,1.0030946778904561,"c(-1,1)",3.75,0.001,0,1,0
-7.631177882791225e-5,9.43921981721108e-7,8.876438582466236e-13,1.003094591730937,"c(-1,1)",3.75,0.001,0.1,1,0
9.878401843972371e-5,1.2312202211103508e-6,9.523969584953944e-13,1.0030946580271018,"c(-1,1)",3.75,0.001,0.2,1,0
1.660006052484008e-4,1.179621655559652e-6,1.4998097399756745e-12,0.999809743257445,"c(-1,1)",4,0.001,0,1,0
3.553409562006032e-5,9.053212270127106e-7,1.415971810619244e-12,0.9998097055182493,"c(-1,1)",4,0.001,0.1,1,0
1.220713559822575e-4,8.299098927361675e-7,1.4105744032831223e-12,0.9998097306544836,"c(-1,1)",4,0.001,0.2,1,0
1.5269917026969323e-5,1.046241604950789e-6,2.130577991802126e-12,0.9963119721485412,"c(-1,1)",4.25,0.001,0,1,0
1.369152290682601e-5,1.1613610005102041e-6,2.1284261331569155e-12,0.9963119939164988,"c(-1,1)",4.25,0.001,0.1,1,0
-1.2100471915417464e-5,1.0368447328628613e-6,2.171973905891546e-12,0.9963119422508971,"c(-1,1)",4.25,0.001,0.2,1,0
-2.191103508834606e-5,1.1858400537378774e-6,2.7411225440922484e-12,0.9926010374219201,"c(-1,1)",4.5,0.001,0,1,0
-5.5903997021814036e-5,1.2110953578905873e-6,3.053469875496539e-12,0.9926010149821298,"c(-1,1)",4.5,0.001,0.1,1,0
