asp.effects,clim.sd,asp.mag,lt.lam,rep
"-2,1",1,7,1.2275793060494167,1
"-2,1",2,7,1.2043670831608908,1
"-2,1",3,7,1.1919488984496747,1
"-2,1",4,7,1.1667184805659163,1
"-2,1",5,7,1.1127463421923698,1
"-2,1",6,7,1.087985300769173,1
"-2,1",7,7,1.0718961333324437,1
"-2,1",8,7,1.0394637867583258,1
"-2,1",9,7,1.0050869764980799,1
"-2,1",10,7,0.9524106874632833,1
"-2,1",11,7,0.9184258081958101,1
"-2,1",12,7,0.9470344572725318,1
"-2,1",13,7,0.867473090763328,1
"-2,1",14,7,0.8447911154394783,1
"-2,1",15,7,0.8535795339826571,1
"-2,1",16,7,0.8213540540859994,1
"-2,1",17,7,0.7992349128949532,1
"-2,1",18,7,0.7686584031755381,1
"-2,1",19,7,0.8161138575597551,1
"-2,1",20,7,0.7746417861592957,1
"-2,1",21,7,0.7216404116101194,1
"-2,1",22,7,0.7671886752919128,1
"-2,1",23,7,0.7183117607943862,1
"-2,1",24,7,0.7089530298693225,1
"-2,1",25,7,0.6970043325187527,1
"-2,1",26,7,0.7086878270257237,1
"-2,1",27,7,0.6827168508648463,1
"-2,1",28,7,0.6853873732192158,1
"-2,1",29,7,0.6656713564015584,1
"-2,1",30,7,0.6884997055060003,1
"-2,1",0,8,1.1593051061612993,1
"-2,1",1,8,1.1512770980991902,1
"-2,1",2,8,1.1306085537487884,1
"-2,1",3,8,1.120362123291664,1
"-2,1",4,8,1.0948726022190434,1
"-2,1",5,8,1.0892237518416807,1
"-2,1",6,8,1.0483827634550607,1
"-2,1",7,8,1.0169416672754652,1
"-2,1",8,8,0.9855736427630415,1
"-2,1",9,8,0.9663229223255435,1
"-2,1",10,8,0.9492428747127191,1
"-2,1",11,8,0.8747588038259322,1
"-2,1",12,8,0.9399617123636073,1
"-2,1",13,8,0.8818211034553718,1
"-2,1",14,8,0.8791596743418126,1
"-2,1",15,8,0.8424158309262024,1
"-2,1",16,8,0.8046843371435526,1
"-2,1",17,8,0.8114001067822505,1
"-2,1",18,8,0.7689333036966193,1
"-2,1",19,8,0.7944121449420416,1
"-2,1",20,8,0.7810110779992036,1
"-2,1",21,8,0.7327921733478067,1
"-2,1",22,8,0.7030927688674442,1
"-2,1",23,8,0.7178088131480832,1
"-2,1",24,8,0.7158736674264242,1
"-2,1",25,8,0.7211890771617089,1
"-2,1",26,8,0.6791773760475539,1
"-2,1",27,8,0.684652456177378,1
"-2,1",28,8,0.6888163447692789,1
"-2,1",29,8,0.7179244644858354,1
"-2,1",30,8,0.6549117410345365,1
"-2,1",0,9,1.0847698938441015,1
"-2,1",1,9,1.0853318415345883,1
"-2,1",2,9,1.0669513337839194,1
"-2,1",3,9,1.034338473620424,1
"-2,1",4,9,1.0331839411855506,1
"-2,1",5,9,1.010416437101818,1
"-2,1",6,9,0.991189194570435,1
"-2,1",7,9,0.9900866500860764,1
"-2,1",8,9,0.9151398936546361,1
"-2,1",9,9,0.9084259644897218,1
"-2,1",10,9,0.9007343527289098,1
"-2,1",11,9,0.952445546139102,1
"-2,1",12,9,0.8895289311965595,1
"-2,1",13,9,0.8274399767598274,1
"-2,1",14,9,0.8006585245959047,1
"-2,1",15,9,0.7788284023893788,1
"-2,1",16,9,0.8115921511916546,1
"-2,1",17,9,0.8030563761401472,1
"-2,1",18,9,0.8013244268209544,1
"-2,1",19,9,0.800843953011194,1
"-2,1",20,9,0.7513759369058145,1
"-2,1",21,9,0.7443135876076872,1
"-2,1",22,9,0.7128663920798152,1
"-2,1",23,9,0.7191567997868111,1
"-2,1",24,9,0.7185067602094213,1
"-2,1",25,9,0.6593568675720513,1
"-2,1",26,9,0.697013970398941,1
"-2,1",27,9,0.7255652453770015,1
"-2,1",28,9,0.6642867244496876,1
"-2,1",29,9,0.6644020898199836,1
"-2,1",30,9,0.6655627825104403,1
"-2,1",0,10,1.0064336342528102,1
"-2,1",1,10,1.0095657233489692,1
"-2,1",2,10,0.9831806281986986,1
"-2,1",3,10,0.9640533254033782,1
"-2,1",4,10,0.9444229546176832,1
"-2,1",5,10,0.9452385791242363,1
"-2,1",6,10,0.9279534679300223,1
"-2,1",7,10,0.9324538763677804,1
"-2,1",8,10,0.8748277441932882,1
"-2,1",9,10,0.9188468557557185,1
"-2,1",10,10,0.8663848519591584,1
"-2,1",11,10,0.8540288975356307,1
"-2,1",12,10,0.8834053864142438,1
"-2,1",13,10,0.8143424998782121,1
"-2,1",14,10,0.8289024034273537,1
"-2,1",15,10,0.8010004955866965,1
"-2,1",16,10,0.738094275586661,1
"-2,1",17,10,0.7660200296137218,1
"-2,1",18,10,0.8033684040536996,1
"-2,1",19,10,0.7187460684524567,1
"-2,1",20,10,0.7280207493647441,1
"-2,1",21,10,0.7627668674398115,1
"-2,1",22,10,0.6971221896710124,1
"-2,1",23,10,0.7051797353573919,1
"-2,1",24,10,0.7262291928443462,1
"-2,1",25,10,0.6974950997081154,1
"-2,1",26,10,0.7210626782544878,1
"-2,1",27,10,0.6859143877843744,1
"-2,1",28,10,0.6615616015427581,1
"-2,1",29,10,0.6471218380493835,1
