asp.mag,clim.sd,seeds,rep
1,1,24,3
1,2,24,3
1,3,30,3
1,4,36,3
1,5,48,3
1,6,72,3
1,7,108,3
1,8,120,3
1,9,191,3
1,10,238,3
1,11,310,3
1,12,906,3
1,13,548,3
1,14,596,3
1,15,1335,3
1,16,1526,3
1,17,1908,3
1,18,1717,3
1,19,2480,3
1,20,3243,3
2,0,24,3
2,1,24,3
2,2,30,3
2,3,30,3
2,4,48,3
2,5,48,3
2,6,78,3
2,7,96,3
2,8,156,3
2,9,238,3
2,10,238,3
2,11,430,3
2,12,572,3
2,13,620,3
2,14,1049,3
2,15,858,3
2,16,2194,3
2,17,1335,3
2,18,1526,3
2,19,4006,3
2,20,6104,3
3,0,30,3
3,1,30,3
3,2,30,3
3,3,36,3
3,4,48,3
3,5,60,3
3,6,72,3
3,7,120,3
3,8,262,3
3,9,310,3
3,10,620,3
3,11,406,3
3,12,763,3
3,13,1240,3
3,14,810,3
3,15,1526,3
3,16,2480,3
3,17,2670,3
3,18,2003,3
3,19,2098,3
3,20,4960,3
4,0,36,3
4,1,36,3
4,2,42,3
4,3,48,3
4,4,60,3
4,5,72,3
4,6,102,3
4,7,108,3
4,8,156,3
4,9,286,3
4,10,406,3
4,11,763,3
4,12,716,3
4,13,477,3
4,14,716,3
4,15,763,3
4,16,1240,3
4,17,1526,3
4,18,2861,3
4,19,3243,3
4,20,3243,3
5,0,48,3
5,1,48,3
5,2,48,3
5,3,60,3
5,4,84,3
5,5,96,3
5,6,96,3
5,7,144,3
5,8,214,3
5,9,262,3
5,10,477,3
5,11,572,3
5,12,620,3
5,13,1240,3
5,14,858,3
5,15,2289,3
5,16,1717,3
5,17,1622,3
5,18,4196,3
5,19,4578,3
5,20,3243,3
6,0,60,3
6,1,60,3
6,2,72,3
6,3,84,3
6,4,96,3
6,5,168,3
6,6,214,3
6,7,214,3
6,8,358,3
6,9,500,3
6,10,524,3
6,11,382,3
6,12,858,3
6,13,906,3
6,14,858,3
6,15,1144,3
6,16,2670,3
6,17,3624,3
6,18,4196,3
6,19,3815,3
6,20,7630,3
7,0,96,3
7,1,96,3
7,2,96,3
7,3,120,3
7,4,144,3
7,5,144,3
7,6,262,3
7,7,262,3
7,8,524,3
7,9,430,3
7,10,763,3
7,11,810,3
7,12,1049,3
7,13,1049,3
7,14,1622,3
7,15,1240,3
7,16,1717,3
7,17,2670,3
7,18,2194,3
7,19,3052,3
7,20,4578,3
8,0,144,3
8,1,156,3
8,2,168,3
8,3,191,3
8,4,202,3
8,5,202,3
8,6,262,3
8,7,430,3
8,8,430,3
8,9,668,3
8,10,763,3
8,11,954,3
8,12,763,3
8,13,1144,3
8,14,1622,3
8,15,2766,3
8,16,2003,3
8,17,3243,3
8,18,3815,3
8,19,4196,3
8,20,8393,3
9,0,262,3
9,1,262,3
9,2,286,3
9,3,406,3
9,4,382,3
9,5,454,3
9,6,572,3
9,7,524,3
9,8,1049,3
9,9,858,3
9,10,1002,3
9,11,954,3
9,12,1908,3
9,13,2003,3
9,14,1812,3
9,15,2670,3
9,16,3243,3
9,17,3815,3
9,18,5341,3
9,19,4196,3
9,20,8393,3
10,0,477,3
10,1,500,3
10,2,500,3
10,3,620,3
10,4,954,3
10,5,763,3
10,6,572,3
10,7,668,3
10,8,906,3
10,9,1096,3
10,10,1430,3
10,11,1717,3
10,12,1049,3
10,13,2098,3
10,14,2194,3
10,15,2289,3
10,16,3624,3
10,17,4006,3
10,18,4960,3
10,19,4769,3
10,20,4960,3
11,0,1002,3
11,1,1002,3
11,2,1144,3
11,3,858,3
11,4,1240,3
11,5,1430,3
11,6,1717,3
11,7,1717,3
11,8,1430,3
11,9,1240,3
11,10,2289,3
11,11,1717,3
11,12,2289,3
11,13,1622,3
11,14,1717,3
11,15,4578,3
11,16,2861,3
11,17,4387,3
11,18,4578,3
11,19,3052,3
11,20,4006,3
12,0,2194,3
12,1,2098,3
12,2,2289,3
12,3,2003,3
12,4,1908,3
12,5,2003,3
12,6,2003,3
12,7,2289,3
12,8,2003,3
12,9,1335,3
12,10,1622,3
12,11,2861,3
12,12,2003,3
12,13,3624,3
12,14,1144,3
12,15,3243,3
12,16,3815,3
12,17,4196,3
12,18,3243,3
12,19,4196,3
12,20,5532,3
13,0,4960,3
13,1,4960,3
13,2,4196,3
13,3,4196,3
13,4,3815,3
13,5,4006,3
13,6,3624,3
13,7,3434,3
13,8,1812,3
13,9,2480,3
13,10,2670,3
13,11,3624,3
